"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TestGetProductByID/get_product_by_id","70","get product by id","","Sat Dec 27 18:14:03 UTC 2025","passed","Sat Dec 27 18:14:03 UTC 2025","","","","TestGetProductByID/get_product_by_id"
"TestGetProductNotFound/get_non-existing_product","137","get non-existing product","","Sat Dec 27 18:14:03 UTC 2025","passed","Sat Dec 27 18:14:03 UTC 2025","","","","TestGetProductNotFound/get_non-existing_product"
"TestGetProducts/get_products_list","67","get products list","","Sat Dec 27 18:14:03 UTC 2025","passed","Sat Dec 27 18:14:03 UTC 2025","","","","TestGetProducts/get_products_list"
"TestCreateUser/create_user","142","create user","","Sat Dec 27 18:14:03 UTC 2025","passed","Sat Dec 27 18:14:03 UTC 2025","","","","TestCreateUser/create_user"
"TestGetUserByID/get_user_by_id","137","get user by id","","Sat Dec 27 18:14:03 UTC 2025","passed","Sat Dec 27 18:14:03 UTC 2025","","","","TestGetUserByID/get_user_by_id"
"TestCreateProduct/create_product","152","create product","","Sat Dec 27 18:14:03 UTC 2025","passed","Sat Dec 27 18:14:03 UTC 2025","","","","TestCreateProduct/create_product"
"TestGetUserNotFound/get_non-existing_user","142","get non-existing user","","Sat Dec 27 18:14:03 UTC 2025","passed","Sat Dec 27 18:14:03 UTC 2025","","","","TestGetUserNotFound/get_non-existing_user"
"TestGetUsers/get_users_list","72","get users list","","Sat Dec 27 18:14:03 UTC 2025","passed","Sat Dec 27 18:14:03 UTC 2025","","","","TestGetUsers/get_users_list"
