"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TestGetProducts/get_products_list","132","get products list","","Mon Dec 15 18:15:30 UTC 2025","passed","Mon Dec 15 18:15:30 UTC 2025","","","","TestGetProducts/get_products_list"
"TestGetUserNotFound/get_non-existing_user","231","get non-existing user","","Mon Dec 15 18:15:30 UTC 2025","passed","Mon Dec 15 18:15:31 UTC 2025","","","","TestGetUserNotFound/get_non-existing_user"
"TestGetProductByID/get_product_by_id","137","get product by id","","Mon Dec 15 18:15:30 UTC 2025","passed","Mon Dec 15 18:15:30 UTC 2025","","","","TestGetProductByID/get_product_by_id"
"TestGetProductNotFound/get_non-existing_product","165","get non-existing product","","Mon Dec 15 18:15:30 UTC 2025","passed","Mon Dec 15 18:15:31 UTC 2025","","","","TestGetProductNotFound/get_non-existing_product"
"TestGetUsers/get_users_list","131","get users list","","Mon Dec 15 18:15:30 UTC 2025","passed","Mon Dec 15 18:15:30 UTC 2025","","","","TestGetUsers/get_users_list"
"TestCreateProduct/create_product","198","create product","","Mon Dec 15 18:15:30 UTC 2025","passed","Mon Dec 15 18:15:31 UTC 2025","","","","TestCreateProduct/create_product"
"TestGetUserByID/get_user_by_id","166","get user by id","","Mon Dec 15 18:15:30 UTC 2025","passed","Mon Dec 15 18:15:31 UTC 2025","","","","TestGetUserByID/get_user_by_id"
"TestCreateUser/create_user","217","create user","","Mon Dec 15 18:15:30 UTC 2025","passed","Mon Dec 15 18:15:31 UTC 2025","","","","TestCreateUser/create_user"
