"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TestGetUserByID/get_user_by_id","233","get user by id","","Sun Dec 14 20:32:36 UTC 2025","passed","Sun Dec 14 20:32:37 UTC 2025","","","","TestGetUserByID/get_user_by_id"
"TestCreateUser/create_user","239","create user","","Sun Dec 14 20:32:36 UTC 2025","passed","Sun Dec 14 20:32:37 UTC 2025","","","","TestCreateUser/create_user"
"TestGetProductByID/get_product_by_id","60","get product by id","","Sun Dec 14 20:32:37 UTC 2025","passed","Sun Dec 14 20:32:37 UTC 2025","","","","TestGetProductByID/get_product_by_id"
"TestCreateProduct/create_product","261","create product","","Sun Dec 14 20:32:36 UTC 2025","passed","Sun Dec 14 20:32:37 UTC 2025","","","","TestCreateProduct/create_product"
"TestGetUserNotFound/get_non-existing_user","89","get non-existing user","","Sun Dec 14 20:32:37 UTC 2025","passed","Sun Dec 14 20:32:37 UTC 2025","","","","TestGetUserNotFound/get_non-existing_user"
"TestGetProducts/get_products_list","227","get products list","","Sun Dec 14 20:32:36 UTC 2025","passed","Sun Dec 14 20:32:37 UTC 2025","","","","TestGetProducts/get_products_list"
"TestGetProductNotFound/get_non-existing_product","89","get non-existing product","","Sun Dec 14 20:32:37 UTC 2025","passed","Sun Dec 14 20:32:37 UTC 2025","","","","TestGetProductNotFound/get_non-existing_product"
"TestGetUsers/get_users_list","69","get users list","","Sun Dec 14 20:32:37 UTC 2025","passed","Sun Dec 14 20:32:37 UTC 2025","","","","TestGetUsers/get_users_list"
